title,publisher,link,published_date,summary,ticker,company_name,source
"Micron to cease chip sales to China, bitcoin sinks to 4-month low",Yahoo Finance Video,https://finance.yahoo.com/video/micron-cease-chip-sales-china-144527158.html,2025-10-17T14:45:27+00:00,"Market Catalysts host Allie Canal tracks several of the day's top trending stock tickers, including Micron Technology's (MU) move to stop supplying chips to data centers in China, bitcoin (BTC-USD) plunging this week to a four-month low, and Apple (AAPL) signing a deal to be the official broadcaster of Formula One (FWONK, FWONA). To watch more expert insights and analysis on the latest market action, check out more&nbsp;Market Catalysts.",AAPL,Apple Inc.,yahoo_finance
"AI can't justify its massive buildout — but doesn't have to, yet",Yahoo Finance,https://finance.yahoo.com/news/ai-cant-justify-its-massive-buildout--but-doesnt-have-to-yet-100018131.html,2025-10-17T10:00:18+00:00,The absence of profitable AI services doesn't undermine the massive buildout; it justifies it.,AAPL,Apple Inc.,yahoo_finance
"Apple's Top Exec Says 'Things Need To Be fixed' To Make Fans Watch Sports: '...You Have To Sign Up For 1,200 subscriptions'",Benzinga,https://finance.yahoo.com/news/apples-top-exec-says-things-033114483.html,2025-10-18T03:31:14+00:00,Apple Inc.'s (NASDAQ:AAPL) senior vice president of services Eddy Cue says the explosion of sports streaming platforms has made watching live games too complicated and expensive. Cue: It's Never Been Easier To Watch — Or Harder To Find Speaking at the ...,AAPL,Apple Inc.,yahoo_finance
Apple's iPhone Air Sells Out in Minutes Across China,GuruFocus.com,https://finance.yahoo.com/news/apples-iphone-air-sells-minutes-222825589.html,2025-10-17T22:28:25+00:00,Ultra-thin titanium model sparks massive demand as Cook visits Beijing,AAPL,Apple Inc.,yahoo_finance
Why Apple (AAPL) Outpaced the Stock Market Today,Zacks,https://finance.yahoo.com/news/why-apple-aapl-outpaced-stock-214503555.html,2025-10-17T21:45:03+00:00,"Apple (AAPL) reached $252.29 at the closing of the latest trading day, reflecting a +1.96% change compared to its last close.",AAPL,Apple Inc.,yahoo_finance
Crypto Titans Join Trump’s White House Fundraiser for $250M Ballroom Project,BeInCrypto,https://beincrypto.com/crypto-titans-join-trumps-white-house-fundraiser-for-250m-ballroom-project/,2025-10-17T21:02:14+00:00,"Crypto moguls and tech titans back Trump’s $250M White House ballroom plan—raising funds, power, and controversy.",AAPL,Apple Inc.,yahoo_finance
"Sell Tesla Stock, Analyst Says. Why Shares Are Rising.",Barrons.com,https://www.barrons.com/articles/tesla-stock-price-sell-rating-analyst-9a0735f0?siteid=yhoof2&yptr=yahoo,2025-10-17T20:21:00+00:00,"Thursday, BNP Paribas Exane analyst James Picariello launched coverage of Tesla stock with a Sell rating and $307 price target.",AAPL,Apple Inc.,yahoo_finance
Sector Update: Tech Stocks Mixed Late Afternoon,MT Newswires,https://finance.yahoo.com/news/sector-tech-stocks-mixed-afternoon-195547759.html,2025-10-17T19:55:47+00:00,"Tech stocks were mixed late Friday afternoon, with the Technology Select Sector SPDR Fund (XLK) gain",AAPL,Apple Inc.,yahoo_finance
ARM Skyrockets 17% in a Month: Should You Board the Train?,Zacks,https://finance.yahoo.com/news/arm-skyrockets-17-month-board-180000593.html,2025-10-17T18:00:00+00:00,"ARM's 17% surge highlights its dominance in mobile chips and AI, but China risks and high valuations urge investor caution.",AAPL,Apple Inc.,yahoo_finance
This new Apple gift card comes with Bitcoin rewards,TheStreet,https://www.thestreet.com/crypto/apple-gift-card-bitcoin-rewards-fold,2025-10-17T17:39:19+00:00,"Bitcoin rewards app Fold has added Apple to its growing list of supported merchants, allowing users to earn Bitcoin (BTC) for everyday spending. In a post on X on Oct. 15, the company announced that Fold+ members can now get 2.5% back in Bitcoin when purchasing Apple gift cards through the ...",AAPL,Apple Inc.,yahoo_finance
